scenario,evaluated_by,H2_annual_kmol_per_tube,D_avg_tube,D_pop_mean,D_hottest,D_hottest_decile,n_hottest_decile,cost_avg,cost_pop_mean,cost_hottest_decile,years_avg_tube,years_pop_mean,years_hottest_decile,years_first_failure,ratio_pop_mean_to_avg,ratio_hottest_to_avg
S5_hold_CH4_slip_ageing_y3,stored hourly (8760 surrogate / 0 physics),128512.0336054404,0.000742970973412524,0.0010982774843308906,0.012047256232537938,0.003931503748654493,34,5.781333876433741e-09,8.546106177907346e-09,3.059249502443526e-08,1345.947601972822,910.5167084520859,254.35560129943593,83.00645231560206,1.478223946335906,16.214975636536572
S5_hold_CH4_slip_ageing_y4,stored hourly (8760 surrogate / 0 physics),128471.06669559315,0.0012340025730990694,0.0017985320759402235,0.019078639789155024,0.006333359011383862,34,9.605295611213279e-09,1.3999510724089888e-08,4.9297940573580606e-08,810.3710817138766,556.0089883174462,157.89409667169593,52.41463810058595,1.457478383876783,15.460777963566965
S5_hold_T_out_ageing_y1,stored hourly (8760 surrogate / 0 physics),129005.07660769958,0.0005077945173526835,0.0007587729139893909,0.00853383389913919,0.0027495507343959203,34,3.9362367025049004e-09,5.881729106652103e-09,2.1313508016100935e-08,1969.300506065646,1317.9173657403142,363.69578036526076,117.18062617797966,1.4942518835082124,16.805683416254972
S5_hold_T_out_ageing_y2,stored hourly (8760 surrogate / 0 physics),128714.68427889697,0.0005782862540476675,0.0008608813345882802,0.009599221322137,0.0031064769349541965,34,4.492776075141868e-09,6.688291545065177e-09,2.4134596237855277e-08,1729.2473978078876,1161.6002808078697,321.9080717284465,104.17511654761783,1.4886768076581651,16.599428492287398
S5_hold_T_out_ageing_y3,stored hourly (8760 surrogate / 0 physics),128250.7503553623,0.0007157948389094038,0.0010592539072320408,0.011648668236592765,0.0037965188304802462,34,5.5812136531447255e-09,8.259241402463672e-09,2.960231281267907e-08,1397.048351904319,944.0607140294828,263.3991940120322,85.84672339269059,1.479828925346733,16.273752761812112
S5_hold_T_out_ageing_y4,stored hourly (8760 surrogate / 0 physics),127373.06414840103,0.0010529325796622758,0.0015415395040394267,0.016529000479347397,0.005457087502223825,34,8.266524690302771e-09,1.2102554918859415e-08,4.284334006337344e-08,949.7284245119913,648.7021561105734,183.2479320869399,60.49972599670965,1.4640438844943613,15.698061584008553
S5_hold_T_out_const_y1,stored hourly (8760 surrogate / 0 physics),128523.36223173072,0.0006300408618039771,0.0009357034182450855,0.010376259720651319,0.0033674161634457624,34,4.902150479599174e-09,7.280415031144218e-09,2.6200809759195607e-08,1587.198641587674,1068.71470222424,296.9635921022408,96.37384056701599,1.485147194367543,16.46918533337867
S5_hold_T_out_const_y2,stored hourly (8760 surrogate / 0 physics),128523.36223173072,0.0006300408618039771,0.0009357034182450855,0.010376259720651319,0.0033674161634457624,34,4.902150479599174e-09,7.280415031144218e-09,2.6200809759195607e-08,1587.198641587674,1068.71470222424,296.9635921022408,96.37384056701599,1.485147194367543,16.46918533337867
S5_hold_T_out_const_y3,stored hourly (8760 surrogate / 0 physics),128523.36223173072,0.0006300408618039771,0.0009357034182450855,0.010376259720651319,0.0033674161634457624,34,4.902150479599174e-09,7.280415031144218e-09,2.6200809759195607e-08,1587.198641587674,1068.71470222424,296.9635921022408,96.37384056701599,1.485147194367543,16.46918533337867
S5_hold_T_out_const_y4,stored hourly (8760 surrogate / 0 physics),128523.36223173072,0.0006300408618039771,0.0009357034182450855,0.010376259720651319,0.0033674161634457624,34,4.902150479599174e-09,7.280415031144218e-09,2.6200809759195607e-08,1587.198641587674,1068.71470222424,296.9635921022408,96.37384056701599,1.485147194367543,16.46918533337867
